,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,472.0,0.0,351.9419,2327.805,47.55829999999997
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.1,427.7969,391.8848,362.5557,338.848,320.1094,305.7709,295.2609,288.0103,283.5064,281.3597,281.3597,283.5064,288.0103,295.2609,305.7709,320.1094,338.848,362.5557,391.8848,427.7969,471.0,473.0,351.9419,134.77120000000002,1975.8631,47.55829999999997
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,0.2,432.4601,401.8761,377.1739,357.07,340.7511,327.694,317.5578,310.1199,305.2372,302.8248,302.8444,305.2995,310.2358,317.7456,327.9794,341.1675,357.6591,377.9875,402.9803,433.9451,472.0,473.0,486.7131,143.02770000000004,1841.0919,47.55829999999997
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.3,435.083,406.2135,383.2622,364.8734,350.1601,338.5321,329.5949,323.087,318.8402,316.7547,316.7841,318.9286,323.2353,329.8048,338.8064,350.5036,365.2942,383.7743,406.8407,435.8642,471.0,472.0,629.7408,187.9239,1698.0641999999998,47.55829999999997
14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,0.4,435.2823,407.564,385.7285,368.4072,354.6873,343.9479,335.7638,329.8457,326.0032,324.121,324.1448,326.0753,329.9678,335.9393,344.1821,354.9883,368.7872,386.2057,408.1657,436.0501,472.0,471.0,817.6647,221.5336,1510.1402999999998,47.55829999999997
15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,0.5,436.4696,409.0184,387.5057,370.5405,357.1865,346.7989,338.9288,333.2649,329.5979,327.7978,327.8014,329.6058,333.2688,338.9147,346.7475,357.073,370.3354,387.1748,408.5213,435.7559,473.0,473.0,1039.1983,243.0514000000001,1288.6066999999998,47.55829999999997
16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.6,437.4544,410.0602,388.6514,371.8176,358.6062,348.3583,340.6126,335.0477,331.4466,329.6751,329.669,331.4286,335.0189,340.575,348.3149,358.5607,371.7743,388.6146,410.0336,437.4405,473.0,472.0,1282.2497,254.90279999999984,1045.5552999999998,47.55829999999997
17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,0.7,437.592,410.3369,389.0659,372.3644,359.2753,349.1354,341.4797,335.9843,332.4298,330.6801,330.6694,332.3959,335.9224,341.3816,348.9891,359.0649,372.0693,388.6601,409.7866,436.8511,473.0,473.0,1537.1525,261.1101000000001,790.6524999999999,47.55829999999997
18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,0.8,437.6558,410.4656,389.2602,372.623,359.5946,349.5093,341.8999,336.4402,332.9099,331.1725,331.163,332.8821,336.3963,341.8433,349.4448,359.528,372.5604,389.2075,410.4278,437.6362,473.0,473.0,1798.2626,264.2296000000001,529.5423999999998,47.55829999999997
19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,0.9,437.6868,410.5284,389.3554,372.7504,359.7533,349.6972,342.1139,336.6767,333.1643,331.4397,331.4374,333.1576,336.6663,342.1009,349.6827,359.7387,372.7371,389.3444,410.5207,437.6829,473.0,471.0,2062.4922,265.3127999999997,265.3127999999997,47.55829999999997
20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,473.0,473.0,0.0,351.8898,2331.0416,47.83699999999999
21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,0.1,428.5462,392.4485,362.9763,339.1565,320.3305,305.9254,295.3664,288.0818,283.5568,281.3999,281.3999,283.5568,288.0818,295.3664,305.9254,320.3305,339.1565,362.9763,392.4485,428.5462,472.0,472.0,351.8898,134.94750000000005,1979.1518,47.83699999999999
22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,0.2,433.2266,402.4749,377.6472,357.4465,341.0518,327.9349,317.7517,310.2772,305.3662,302.9313,302.9313,305.3662,310.2772,317.7517,327.9349,341.0518,357.4465,377.6472,402.4749,433.2266,472.0,471.0,486.8373,143.88869999999997,1844.2043,47.83699999999999
23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,0.3,435.1118,406.2696,383.3419,364.9713,350.2691,338.6443,329.7022,323.1814,318.9138,316.799,316.7895,318.8836,323.1251,329.6107,338.5048,350.0648,364.681,382.9393,405.7209,434.3713,473.0,473.0,630.726,189.9279,1700.3156,47.83699999999999
24,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,0.4,436.768,408.671,386.548,369.0058,355.1156,344.2456,335.9616,329.9672,326.0662,324.139,324.1295,326.0383,329.923,335.9047,344.1808,355.0486,368.9428,386.4951,408.633,436.7482,473.0,473.0,820.6539,224.8852,1510.3877,47.83699999999999
25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,0.5,437.2491,409.6431,388.016,370.9619,357.5354,347.087,339.1654,333.4592,329.7599,327.9395,327.9372,329.7531,333.4486,339.152,347.0721,357.5204,370.9482,388.0048,409.6352,437.245,472.0,472.0,1045.5391,244.3972000000001,1285.5025,47.83699999999999
26,26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,0.6,436.7479,409.5778,388.3437,371.6456,358.5377,348.3661,340.6745,335.1464,331.5691,329.8114,329.8109,331.5675,335.144,340.6715,348.3627,358.5343,371.6426,388.3412,409.5761,436.747,473.0,471.0,1289.9363,254.48219999999992,1041.1053,47.83699999999999
27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,0.7,437.5837,410.3216,389.0463,372.3441,359.258,349.1239,341.4756,335.987,332.4367,330.6863,330.6678,332.3777,335.8769,341.2966,348.8503,358.8561,371.7713,388.2489,409.2309,436.1067,473.0,473.0,1544.4185,260.8724,786.6231,47.83699999999999
28,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,0.8,437.6546,410.4632,389.2563,372.6176,359.5872,349.4993,341.8862,336.4218,332.8852,331.1402,331.1219,332.8316,336.3369,341.7769,349.3745,359.4581,372.496,389.154,410.3896,437.6164,471.0,473.0,1805.2909,262.56219999999985,525.7507,47.83699999999999
29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,0.9,436.2088,409.4355,388.5542,372.1718,359.3431,349.4118,341.9184,336.5435,333.0727,331.3746,331.3884,333.1182,336.6326,342.071,349.656,359.7154,372.7176,389.3293,410.5105,437.6777,473.0,472.0,2067.8531,263.1885000000002,263.1885000000002,47.83699999999999
30,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,473.0,471.0,0.0,352.188,2327.378,47.83139999999997
31,31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,0.1,428.5462,392.4484,362.9761,339.1559,320.3294,305.923,295.3617,288.0728,283.5402,281.3703,281.349,283.4727,287.9477,295.16,305.6187,319.8893,338.5398,362.135,391.3209,427.0473,472.0,473.0,352.188,136.11310000000003,1975.19,47.83139999999997
32,32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,0.2,433.2251,402.4714,377.6408,357.4362,341.0361,327.9117,317.7189,310.2325,305.3079,302.8591,302.8469,305.2751,310.1893,317.6827,327.9065,341.0918,357.588,377.9279,402.9374,433.9227,471.0,473.0,488.3011,143.4946,1839.0769,47.83139999999997
33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,,0.3,434.3685,405.7152,382.9306,364.6692,350.05,338.4876,329.5922,323.1072,318.8694,316.7834,316.8066,318.9426,323.2404,329.8023,338.7985,350.4926,365.2825,383.7638,406.8329,435.8602,473.0,473.0,631.7957,188.96759999999995,1695.5823,47.83139999999997
34,34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,0.4,436.7476,408.6318,386.4938,368.9421,355.0493,344.1841,335.9123,329.9366,326.0597,324.1604,324.1806,326.1189,330.0303,336.0328,344.3213,355.1909,369.0749,386.6054,408.7118,436.7891,473.0,473.0,820.7633,224.7297,1506.6147,47.83139999999997
35,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,0.5,437.246,409.6371,388.0081,370.9531,357.5274,347.0814,339.1641,333.4636,329.7712,327.9583,327.9633,329.7857,333.4862,339.1925,347.1129,357.559,370.982,388.0319,409.6539,437.2546,473.0,471.0,1045.493,244.91640000000007,1281.8850000000002,47.83139999999997
36,36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,0.6,437.4865,410.1233,388.7428,371.933,358.7404,348.5059,340.7687,335.208,331.6071,329.8312,329.814,331.5517,335.1034,340.5965,348.2399,358.346,371.3668,387.9507,409.0362,436.0112,471.0,473.0,1290.4094,254.47990000000004,1036.9686000000002,47.83139999999997
37,37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,0.7,436.1264,409.2689,388.302,371.8346,358.9239,348.9166,341.3558,335.9244,332.4099,330.6826,330.6829,332.4155,335.95,341.426,349.0661,359.1974,372.2866,388.9976,410.2865,437.5654,473.0,471.0,1544.8893,258.8019999999999,782.4887000000001,47.83139999999997
38,38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,0.8,437.6205,410.3977,389.1655,372.51,359.4731,349.3887,341.788,336.342,332.8268,331.1017,331.0972,332.8089,336.2973,341.6938,349.2127,359.173,372.0337,388.45,409.3662,436.1744,471.0,473.0,1803.6913,261.7004999999999,523.6867000000002,47.83139999999997
39,39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,0.9,436.2008,409.4196,388.5306,372.1411,359.3058,349.3684,341.8691,336.4878,333.0096,331.3026,331.3062,333.0247,336.5282,341.9579,349.5385,359.5999,372.612,389.2417,410.448,437.6454,472.0,472.0,2065.3918,261.9862000000003,261.9862000000003,47.83139999999997
