,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,471.0,0.0,352.0918,1873.0942999999995,46.4058
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.1,427.7969,391.8848,362.5556,338.8477,320.1088,305.7697,295.2585,288.0058,283.4981,281.3448,281.3342,283.4643,287.9432,295.1577,305.6175,319.8887,338.5395,362.1349,391.3208,427.0473,471.0,473.0,352.0918,135.3265,1521.0024999999996,46.4058
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,0.2,432.4594,401.8743,377.1707,357.0647,340.743,327.6819,317.5404,310.0955,305.2042,302.7818,302.7905,305.2345,310.1608,317.6631,327.8933,341.0832,357.5825,377.9245,402.9356,433.9219,472.0,472.0,487.4183,142.88140000000004,1385.6759999999997,46.4058
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.3,435.0814,406.2099,383.2563,364.8649,350.1484,338.5165,329.5747,323.0612,318.8074,316.7128,316.7299,318.8575,323.1406,329.6773,338.6338,350.27,364.9795,383.3529,406.2794,435.1175,473.0,472.0,630.2997,189.1328,1242.7945999999995,46.4058
14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,0.4,436.759,408.6532,386.5222,368.9732,355.0782,344.2058,335.9221,329.9307,326.0347,324.1134,324.1084,326.0176,329.8949,335.8566,344.0954,354.9035,368.7104,386.1426,408.1212,436.0272,294.0,290.0,819.4325,109.52819999999996,1053.6618,46.4058
15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,0.5,300.2327,306.2736,311.5598,315.7331,318.666,320.4404,321.2906,321.528,321.4632,321.3406,321.2906,321.3055,321.239,320.8306,319.7526,317.6774,314.3552,309.6916,303.8059,297.0536,471.0,472.0,928.9607,100.89050000000007,944.1336,46.4058
16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.6,431.8271,400.9034,376.413,357.2196,342.4994,331.5549,323.7432,318.4764,315.2565,313.7213,313.6819,315.1438,318.3065,323.5433,331.3625,342.3613,357.1889,376.5468,401.2601,432.4684,473.0,473.0,1029.8512,159.93999999999983,843.2430999999999,46.4058
17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,0.7,436.2008,407.5454,384.896,366.8847,352.6025,341.4268,332.9224,326.7831,322.7988,320.8373,320.8345,322.7911,326.7717,332.9094,341.4142,352.5918,366.8768,384.8908,407.5425,436.1995,471.0,472.0,1189.7912,205.3769000000002,683.3031000000001,46.4058
18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,0.8,435.5385,408.0816,386.5102,369.4489,355.9756,345.4593,337.4645,331.6932,327.9475,326.1072,326.116,327.9759,331.7466,337.5521,345.5942,356.1749,369.7342,386.9083,408.6268,436.277,471.0,473.0,1395.1681,231.7347,477.9261999999999,46.4058
19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,0.9,435.8563,408.7265,387.4905,370.7659,357.6196,347.4074,339.6801,334.1265,330.5383,328.7877,328.8154,330.624,334.279,339.914,347.7438,358.0867,371.4003,388.3398,409.8546,437.3529,471.0,472.0,1626.9028,246.1914999999999,246.1914999999999,46.4058
20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,471.0,471.0,0.0,351.9981,2325.4481000000005,47.77350000000001
21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,0.1,427.0473,391.3208,362.1348,338.5392,319.8881,305.6164,295.1553,287.9387,283.456,281.3194,281.3194,283.456,287.9387,295.1553,305.6164,319.8881,338.5392,362.1348,391.3208,427.0473,473.0,471.0,351.9981,135.7568,1973.4500000000005,47.77350000000001
22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,0.2,433.9213,402.9338,377.9211,357.5771,341.075,327.8812,317.6456,310.1364,305.2016,302.7475,302.728,305.1392,310.0204,317.4577,327.5957,340.6585,356.9879,377.1074,401.8294,432.4361,473.0,473.0,487.7549,145.1676,1837.6932,47.77350000000001
23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,0.3,435.856,406.8241,383.7495,365.2616,350.4638,338.7607,329.7547,323.183,318.8768,316.7367,316.7167,318.8186,323.0909,329.6362,338.6258,350.3245,365.1308,383.6396,406.7453,435.815,472.0,471.0,632.9225,189.6278,1692.5256000000002,47.77350000000001
24,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,0.4,436.0469,408.1592,386.1963,368.7755,354.9751,344.1688,335.9275,329.9595,326.0726,324.1499,324.1356,326.0284,329.8815,335.8088,343.9995,354.7412,368.4585,385.7721,407.5956,435.2988,473.0,472.0,822.5503,223.76190000000008,1502.8978000000002,47.77350000000001
25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,0.5,437.2332,409.6122,387.9724,370.9085,357.4757,347.0235,339.0994,333.3899,329.6844,327.8531,327.8334,329.6244,333.2865,338.9476,346.8159,357.2016,370.5534,387.5159,409.0254,436.4731,471.0,471.0,1046.3122,242.73209999999995,1279.1359,47.77350000000001
26,26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,0.6,436.0031,409.0197,387.9254,371.3322,358.3016,348.1848,340.5294,335.0222,331.4531,329.6931,329.6814,331.4187,334.9679,340.4598,348.1058,358.2204,371.2562,387.8617,408.9741,435.9795,473.0,473.0,1289.0443,253.22990000000004,1036.4038,47.77350000000001
27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,0.7,437.5591,410.2734,388.9769,372.2572,359.1579,349.0152,341.3626,335.8736,332.3269,330.5851,330.5822,332.3187,335.8608,341.3465,348.9973,359.1399,372.2407,388.9634,410.2639,437.5543,471.0,473.0,1542.2742,258.9365,783.1739,47.77350000000001
28,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,0.8,436.17,409.3575,388.437,372.0168,359.1531,349.1911,341.6726,336.2792,332.7971,331.0953,331.113,332.8538,336.3857,341.8472,349.4597,359.55,372.5851,389.2306,410.4455,437.6457,472.0,472.0,1801.2107,260.7165,524.2374,47.77350000000001
29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,0.9,436.9061,409.9011,388.8408,372.323,359.3966,349.4002,341.8684,336.4754,333.0001,331.3049,331.323,333.0532,336.5594,341.9768,349.5239,359.5247,372.4435,388.9423,409.9741,436.944,473.0,473.0,2061.9272,263.5209,263.5209,47.77350000000001
30,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,473.0,0.0,351.7936,1871.251,47.84780000000001
31,31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,0.1,427.797,391.8849,362.5558,338.8482,320.11,305.7721,295.2632,288.0148,283.5147,281.3745,281.3851,283.5485,288.0773,295.364,305.9242,320.3299,339.1562,362.9762,392.4485,428.5462,473.0,473.0,351.7936,135.1062,1519.4574,47.84780000000001
32,32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,0.2,433.9459,402.9822,377.9909,357.6648,341.1767,327.9937,317.7674,310.2684,305.3476,302.9144,302.9254,305.3796,310.319,317.8324,328.0675,341.2528,357.7361,378.0508,403.025,433.9682,471.0,473.0,486.8998,143.93809999999996,1384.3512,47.84780000000001
33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,,0.3,434.3867,405.7507,382.981,364.7314,350.1203,338.5625,329.669,323.184,318.9452,316.8578,316.8796,319.0138,323.3093,329.8678,338.8591,350.5464,365.3278,383.799,406.8568,435.8722,473.0,473.0,630.8379,189.3587,1240.4131,47.84780000000001
34,34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,0.4,436.7537,408.6441,386.5122,368.9663,355.0788,344.2181,335.9499,329.9769,326.1016,324.2028,324.2225,326.1592,330.0681,336.0673,344.3517,355.2167,369.0957,386.621,408.7222,436.7942,473.0,473.0,820.1966,224.95730000000003,1051.0544,47.84780000000001
35,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,0.5,437.2488,409.6428,388.0166,370.9644,357.5414,347.0978,339.1825,333.4836,329.7922,327.9798,327.9846,329.8063,333.5055,339.2101,347.1285,357.5722,370.9926,388.0398,409.6591,437.2572,287.0,299.0,1045.1539,121.38380000000006,826.0971,47.84780000000001
36,36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,0.6,294.9944,302.5955,309.2262,314.5259,318.3762,320.8773,322.2876,322.9454,323.1896,323.2933,323.4171,323.5858,323.689,323.5057,322.7509,321.1397,318.4626,314.6585,309.8695,304.4618,473.0,473.0,1166.5377,96.6685,704.7132999999999,47.84780000000001
37,37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,0.7,433.2856,401.9698,377.2069,357.848,343.0595,332.1319,324.4065,319.2767,316.2256,314.8724,315.0118,316.6338,319.9242,325.2432,333.0886,344.0515,358.7826,377.9945,402.5355,433.5795,473.0,473.0,1263.2062,162.99599999999987,608.0447999999999,47.84780000000001
38,38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,0.8,436.2817,407.7086,385.1421,367.2128,353.0106,341.9119,333.4806,327.4094,323.4866,321.5769,321.6128,323.5908,327.5717,333.6848,342.1384,353.2381,367.4207,385.3127,407.8287,436.3434,472.0,473.0,1426.2022,209.5701000000001,445.0488,47.84780000000001
39,39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,0.9,436.3209,408.716,387.0443,369.9177,356.4054,345.8698,337.8699,332.1023,328.365,326.5343,326.5517,328.4183,332.1944,338.0061,346.0585,356.6585,370.2519,387.4824,409.2892,437.0738,472.0,472.0,1635.7723,235.4786999999999,235.4786999999999,47.84780000000001
40,40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,473.0,471.0,0.0,352.188,2134.5022,45.59370000000001
41,41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,0.1,428.5462,392.4484,362.9761,339.1559,320.3294,305.923,295.3617,288.0728,283.5402,281.3703,281.349,283.4727,287.9477,295.16,305.6187,319.8893,338.5398,362.135,391.3209,427.0473,291.0,289.0,352.188,108.0863,1782.3142,45.59370000000001
42,42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,,0.2,293.9688,296.7735,298.9433,300.1981,300.4781,299.9261,298.8326,297.5594,296.4609,295.8142,295.7694,296.3239,297.3219,298.4807,299.4406,299.8335,299.3635,297.8824,295.4454,292.3287,471.0,471.0,460.2743,145.3666,1674.2279,45.59370000000001
43,43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,,0.3,429.868,396.9531,370.472,349.3522,332.8431,320.3158,311.1835,304.8994,300.9922,299.1144,299.0824,300.8987,304.7518,310.9939,320.1004,332.6215,349.1448,370.2983,396.829,429.8038,471.0,473.0,605.6409,128.24509999999998,1528.8613,45.59370000000001
