,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,453.0,473.0,0.0,350.428,1680.8617999999997,7.186300000000017
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.1,413.4983,381.1042,354.5052,332.9454,315.8876,302.839,293.2907,286.7333,282.7114,280.889,281.1023,283.3897,287.9915,295.3193,305.9017,320.319,339.1511,362.9739,392.4475,428.5459,324.0,446.0,350.428,90.3467,1330.4337999999998,7.186300000000017
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,0.2,319.449,315.7775,312.5483,309.4807,306.4691,303.5721,300.9789,298.9609,297.8237,297.8662,299.355,302.5135,307.5255,314.5506,323.7506,335.3245,349.5561,366.8758,387.9464,413.7906,384.0,359.0,440.7747,41.5301,1240.0870999999995,7.186300000000017
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.3,364.6499,348.7506,335.7915,325.4151,317.3412,311.3254,307.1422,304.5815,303.4503,303.5735,304.7906,306.9508,309.9103,313.5355,317.7182,322.4007,327.6099,333.4928,340.3462,348.6352,374.0,272.0,482.3048,79.74260000000004,1198.5569999999998,7.186300000000017
14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,0.4,358.4858,345.8599,335.5649,327.1953,320.4509,315.1034,310.9685,307.8841,305.6904,304.214,303.2558,302.5839,301.9348,301.0235,299.5652,297.3079,294.071,289.784,284.5143,278.4741,365.0,274.0,562.0474,155.57709999999997,1118.8143999999998,7.186300000000017
15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,0.5,351.6111,340.7192,331.8045,324.4717,318.4159,313.3976,309.2242,305.7343,302.7863,300.2511,298.0075,295.9416,293.949,291.9377,289.8331,287.5822,285.1561,282.552,279.7923,276.9212,407.0,272.0,717.6245,211.8235,963.2373,7.186300000000017
16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.6,383.5822,364.5545,349.026,336.3645,326.084,317.7802,311.0986,305.7214,301.3657,297.785,294.7705,292.1509,289.7888,287.5775,285.4361,283.3063,281.1488,278.9413,276.6762,274.358,407.0,272.0,929.448,249.91410000000008,751.4137999999999,7.186300000000017
17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,0.7,384.45,366.1959,351.2552,338.9292,328.7034,320.1863,313.0702,307.1062,302.0877,297.84,294.214,291.0816,288.3337,285.878,283.6377,281.5502,279.5654,277.6444,275.7575,273.8819,384.0,275.0,1179.3621,254.62279999999987,501.4996999999999,7.186300000000017
18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,0.8,367.0052,353.2026,341.827,332.3126,324.2425,317.3131,311.306,306.0642,301.4729,297.4447,293.9088,290.805,288.0802,285.687,283.5827,281.7288,280.0896,278.6311,277.3197,276.1209,282.0,472.0,1433.9849,188.51710000000003,246.8769,7.186300000000017
19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,0.9,286.5748,290.8723,294.4944,297.1754,298.8061,299.4309,299.2253,298.4671,297.5108,296.7731,296.7303,297.9219,300.9507,306.4728,315.169,327.7086,344.7195,366.8008,394.617,429.1243,396.0,369.0,1622.502,58.35979999999995,58.35979999999995,7.186300000000017
20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,471.0,420.0,0.0,361.8875,1995.4637,7.961299999999994
21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,0.1,427.0464,391.3182,362.1287,338.5256,319.8588,305.5557,295.0345,287.7069,283.0271,280.5548,280.0057,281.2804,284.4646,289.8027,297.6494,308.4103,322.4871,340.2504,362.0648,388.3928,299.0,471.0,361.8875,125.6596,1633.5762,7.961299999999994
22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,0.2,300.2009,301.4594,302.3075,302.4602,301.8454,300.5937,298.9958,297.4447,296.3786,296.2361,297.4311,300.344,305.3274,312.719,322.8578,336.1071,352.8889,373.7462,399.4535,431.2124,408.0,357.0,487.5471,45.81679999999994,1507.9166,7.961299999999994
23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,0.3,382.4554,361.5319,344.5207,330.9527,320.4616,312.7119,307.3732,304.122,302.6537,302.6923,303.9922,306.3325,309.5105,313.341,317.6688,322.3938,327.5093,333.1417,339.5842,347.3153,371.0,274.0,533.3639,84.1513000000001,1462.0998,7.961299999999994
24,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,0.4,356.6105,344.933,335.3872,327.5537,321.1363,315.9302,311.791,308.6038,306.2565,304.6166,303.5161,302.7436,302.0476,301.1492,299.7668,297.6501,294.6196,290.6049,285.6714,280.0268,350.0,273.0,617.5152,151.49169999999992,1377.9485,7.961299999999994
25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,0.5,339.9791,331.8734,325.2458,319.7584,315.155,311.2457,307.8895,304.9782,302.4219,300.1379,298.0437,296.0548,294.087,292.06,289.9042,287.5668,285.0174,282.2515,279.2916,276.1854,416.0,274.0,769.0069,209.99980000000005,1226.4568,7.961299999999994
26,26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,0.6,390.0674,369.0138,351.8697,337.9612,326.7683,317.8473,310.7945,305.2373,300.8381,297.3024,294.3843,291.8877,289.6631,287.6014,285.6269,283.6901,281.7617,279.8276,277.8849,275.9388,410.0,275.0,979.0067,250.53830000000005,1016.457,7.961299999999994
27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,0.7,386.8572,368.1472,352.839,340.2038,329.7107,320.9613,313.6474,307.5232,302.3863,298.0661,294.4164,291.3109,288.642,286.3183,284.2648,282.4207,280.7381,279.1799,277.7179,276.3303,384.0,272.0,1229.545,253.0574999999999,765.9187,7.961299999999994
28,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,0.8,367.1135,353.4115,342.1216,332.6729,324.6462,317.739,311.7365,306.4864,301.8778,297.8253,294.2564,291.1048,288.3063,285.7985,283.5208,281.417,279.4364,277.5358,275.6801,273.8419,399.0,275.0,1482.6025,252.6405,512.8612,7.961299999999994
29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,0.9,378.0101,360.9559,346.9737,335.4378,325.8759,317.9171,311.2624,305.6669,300.9301,296.8885,293.4116,290.3964,287.7632,285.4507,283.4111,281.6063,280.0037,278.5729,277.2833,276.1034,411.0,275.0,1735.243,260.2207000000001,260.2207000000001,7.961299999999994
30,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,418.0,0.0,362.4586,2005.1809,8.576999999999998
31,31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,0.1,427.796,391.8821,362.5493,338.8335,320.0783,305.7067,295.133,287.7648,283.0522,280.5499,279.9683,281.2022,284.3309,289.5917,297.3325,307.9521,321.8454,339.3758,360.8985,386.8606,301.0,472.0,362.4586,127.32760000000002,1642.7223,8.576999999999998
32,32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,0.2,301.8082,302.7281,303.2894,303.2037,302.3943,300.9862,299.2637,297.6139,296.4695,296.2657,297.4141,300.2954,305.2646,312.6628,322.8344,336.1473,353.0285,374.0246,399.9145,431.9082,400.0,361.0,489.7862,44.03989999999999,1515.3947,8.576999999999998
33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,,0.3,376.3803,356.9897,341.2064,328.6115,318.8737,311.6882,306.7559,303.7866,302.5089,302.6789,304.0797,306.5163,309.8085,313.7916,318.3283,323.3357,328.8227,334.9305,341.9672,350.4277,384.0,272.0,533.8261,83.5901,1471.3548,8.576999999999998
34,34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,0.4,366.4523,352.1971,340.5704,331.0983,323.4378,317.3335,312.5847,309.0172,306.4599,304.7269,303.6035,302.84,302.1529,301.237,299.7887,297.5396,294.2968,289.9829,284.6633,278.5541,339.0,274.0,617.4162,152.40210000000002,1387.7647,8.576999999999998
35,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,0.5,331.7035,325.8902,321.1404,317.1327,313.6391,310.5122,307.666,305.0529,302.6423,300.4041,298.2989,296.2749,294.2709,292.2231,290.0732,287.7763,285.3067,282.6623,279.8646,276.957,419.0,272.0,769.8183,208.3525,1235.3626,8.576999999999998
36,36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,0.6,392.1431,370.342,352.6076,338.2573,326.7614,317.6596,310.5249,304.9575,300.592,297.1086,294.2406,291.7757,289.5519,287.4504,285.3875,283.3072,281.1754,278.9756,276.7055,274.3745,414.0,273.0,978.1708,255.0143,1027.0101,8.576999999999998
